phase,url,source_file,page_type,title,title_length,meta_description,description_length,canonical,robots_directives,lang,author,og_title,og_description,og_url,og_type,og_image,twitter_card,duplicate_title,duplicate_description,issues,description,h1
"after","https://kujo.robertdevore.com/course/editor-and-lsp/","","","Editor integration and the LSP boundary · Kujo Course","","","","","","","","","","","","","","false","false","","Keep tooling connected to the same language contract.","Editor integration and the LSP boundary"
"after","https://kujo.robertdevore.com/course/filesystem/","","","Filesystem automation with bounded paths · Kujo Course","","","","","","","","","","","","","","false","false","","Read intended inputs and make writes deliberate.","Filesystem automation with bounded paths"
"after","https://kujo.robertdevore.com/course/processes/","","","Processes without unnecessary shells · Kujo Course","","","","","","","","","","","","","","false","false","","Use argv, bounded output, and an explicit result receipt.","Processes without unnecessary shells"
"after","https://kujo.robertdevore.com/course/http-and-networking/","","","HTTP and network boundaries · Kujo Course","","","","","","","","","","","","","","false","false","","Separate response handling from live transport.","HTTP and network boundaries"
"after","https://kujo.robertdevore.com/course/data-and-persistence/","","","Structured data and local persistence · Kujo Course","","","","","","","","","","","","","","false","false","","Store explicit schemas and keep migrations inspectable.","Structured data and local persistence"
"after","https://kujo.robertdevore.com/course/capability-security/","","","Trusted execution and minimum authority · Kujo Course","","","","","","","","","","","","","","false","false","","Prove a denial, grant one effect, and test the remaining boundary.","Trusted execution and minimum authority"
"after","https://kujo.robertdevore.com/course/secret-boundaries/","","","Secrets, redaction, and endpoint policy · Kujo Course","","","","","","","","","","","","","","false","false","","Keep credential values out of ordinary output.","Secrets, redaction, and endpoint policy"
"after","https://kujo.robertdevore.com/course/ai-effects-and-messages/","","","AI effects and portable messages · Kujo Course","","","","","","","","","","","","","","false","false","","Treat model responses as uncertain external input.","AI effects and portable messages"
"after","https://kujo.robertdevore.com/course/request-identity/","","","Deterministic request identity · Kujo Course","","","","","","","","","","","","","","false","false","","Know which work a cassette or cache entry represents.","Deterministic request identity"
"after","https://kujo.robertdevore.com/course/record-and-replay/","","","Record, replay, and offline evidence · Kujo Course","","","","","","","","","","","","","","false","false","","Make AI integration tests independent of a live provider.","Record, replay, and offline evidence"
"after","https://kujo.robertdevore.com/course/streaming/","","","Streaming and cancellation · Kujo Course","","","","","","","","","","","","","","false","false","","Distinguish delivered chunks from a completed domain result.","Streaming and cancellation"
"after","https://kujo.robertdevore.com/course/structured-outputs/","","","Structured outputs and schema validation · Kujo Course","","","","","","","","","","","","","","false","false","","Parse text, validate shape, then evaluate meaning.","Structured outputs and schema validation"
"after","https://kujo.robertdevore.com/course/context-and-vectors/","","","Context budgets, embeddings, and vectors · Kujo Course","","","","","","","","","","","","","","false","false","","Bound context and keep retrieval policy outside core math.","Context budgets, embeddings, and vectors"
"after","https://kujo.robertdevore.com/course/tool-loops/","","","Bounded AI tool loops · Kujo Course","","","","","","","","","","","","","","false","false","","Validate a proposed call before supplying a tool result.","Bounded AI tool loops"
"after","https://kujo.robertdevore.com/course/mechanism-and-policy/","","","Mechanism versus policy · Kujo Course","","","","","","","","","","","","","","false","false","","Compose an application without turning the language into a framework.","Mechanism versus policy"
"after","https://kujo.robertdevore.com/course/loop-engineering/","","","Loop Engineering, specs, and stop conditions · Kujo Course","","","","","","","","","","","","","","false","false","","Turn an open-ended request into bounded work.","Loop Engineering, specs, and stop conditions"
"after","https://kujo.robertdevore.com/course/evaluation/","","","Evaluation independent of generation · Kujo Course","","","","","","","","","","","","","","false","false","","Reject plausible but wrong output with observable criteria.","Evaluation independent of generation"
"after","https://kujo.robertdevore.com/course/evidence-and-handoffs/","","","Evidence, run records, and work boundaries · Kujo Course","","","","","","","","","","","","","","false","false","","Leave enough proof for the next person or program.","Evidence, run records, and work boundaries"
"after","https://kujo.robertdevore.com/course/isolation-and-observability/","","","Isolation, observability, and watchdogs · Kujo Course","","","","","","","","","","","","","","false","false","","Control the host and detect failures outside the happy path.","Isolation, observability, and watchdogs"
"after","https://kujo.robertdevore.com/course/mcp-interoperability/","","","MCP and external tool interoperability · Kujo Course","","","","","","","","","","","","","","false","false","","Expose a schema without confusing discovery with authority.","MCP and external tool interoperability"
"after","https://kujo.robertdevore.com/build-1/","","","Build 1: Local reporting utility · Kujo Course","","","","","","","","","","","","","","false","false","","Take job labels from command-line arguments, reject blank input, and produce a useful human-readable report.","Build 1: Local reporting utility"
"after","https://kujo.robertdevore.com/build-2/","","","Build 2: Concurrent data processor · Kujo Course","","","","","","","","","","","","","","false","false","","Turn a fixed set of typed-looking domain records into ordered results using bounded async work.","Build 2: Concurrent data processor"
"after","https://kujo.robertdevore.com/build-3/","","","Build 3: Reusable package · Kujo Course","","","","","","","","","","","","","","false","false","","Create a standalone package with an exported module, tests, documentation, and machine-readable output.","Build 3: Reusable package"
"after","https://kujo.robertdevore.com/build-4/","","","Build 4: Bounded native automation · Kujo Course","","","","","","","","","","","","","","false","false","","Read a contained fixture, run a controlled process, call a local HTTP fixture, and write a structured result.","Build 4: Bounded native automation"
"after","https://kujo.robertdevore.com/build-5/","","","Build 5: Replay-backed AI automation · Kujo Course","","","","","","","","","","","","","","false","false","","Add an AI response boundary to a working local program and prove its response handling without live credentials.","Build 5: Replay-backed AI automation"
"after","https://kujo.robertdevore.com/build-6/","","","Build 6: Evaluated agentic workflow · Kujo Course","","","","","","","","","","","","","","false","false","","Combine a bounded goal, explicit context, proposed results, independent evaluation, and a final disposition.","Build 6: Evaluated agentic workflow"
"after","https://kujo.robertdevore.com/capstone/","","","Local-first AI operations runner · Kujo Course","","","","","","","","","","","","","","false","false","","Build a complete path from validated request to evaluated result and evidence.","Local-first AI operations runner"
"after","https://kujo.robertdevore.com/explorer/","","","Explore the verified examples · Kujo Course","","","","","","","","","","","","","","false","false","","Inspect actual source, captured output, and genuine failure diagnostics.","Explore the verified examples"
"after","https://kujo.robertdevore.com/about/","","","About this course · Kujo Course","","","","","","","","","","","","","","false","false","","A Kujo-specific path for developers, built with Kujo itself.","About this course"
"after","https://kujo.robertdevore.com/evidence/","","","Evidence and freshness ledger · Kujo Course","","","","","","","","","","","","","","false","false","","Inspect the runtime version, verified examples, and known contract discrepancies.","Evidence and freshness ledger"
