phase,url,source_file,page_type,primary_purpose,search_intent,target_audience,central_entity,primary_query_theme,supporting_topics,h1,heading_structure,word_count,published_date,modified_date,first_hand_signals,content_gap,competing_internal_url,recommended_action,topic,audience,intent,evidence,original_value,freshness,action,limitations
"","https://kujo.robertdevore.com/course/structs-and-enums/","","","","","","","","","","","","","","","","","","Structs and enums","Experienced software developers","Learn and implement Structs and enums","examples/09.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/match-result-option/","","","","","","","","","","","","","","","","","","Match, Result, and Option","Experienced software developers","Learn and implement Match, Result, and Option","examples/10.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/exceptions/","","","","","","","","","","","","","","","","","","Exceptions and recoverable errors","Experienced software developers","Learn and implement Exceptions and recoverable errors","examples/11.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/optional-typing/","","","","","","","","","","","","","","","","","","Optional typing without imaginary guarantees","Experienced software developers","Learn and implement Optional typing without imaginary guarantees","examples/12.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/async-and-await/","","","","","","","","","","","","","","","","","","Async functions and await","Experienced software developers","Learn and implement Async functions and await","examples/13.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/bounded-concurrency/","","","","","","","","","","","","","","","","","","Spawn and bounded concurrent work","Experienced software developers","Learn and implement Spawn and bounded concurrent work","examples/14.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/modules/","","","","","","","","","","","","","","","","","","Modules and explicit exports","Experienced software developers","Learn and implement Modules and explicit exports","examples/15.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/projects-and-lockfiles/","","","","","","","","","","","","","","","","","","Projects, packages, and lockfiles","Experienced software developers","Learn and implement Projects, packages, and lockfiles","examples/16.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/standard-library/","","","","","","","","","","","","","","","","","","Finding the standard library contract","Experienced software developers","Learn and implement Finding the standard library contract","examples/17.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/testing/","","","","","","","","","","","","","","","","","","Testing, fixtures, and runtime evidence","Experienced software developers","Learn and implement Testing, fixtures, and runtime evidence","examples/18.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/machine-contracts/","","","","","","","","","","","","","","","","","","Diagnostics and machine-readable interfaces","Experienced software developers","Learn and implement Diagnostics and machine-readable interfaces","examples/19.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/documentation/","","","","","","","","","","","","","","","","","","Documentation as a build artifact","Experienced software developers","Learn and implement Documentation as a build artifact","examples/20.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/editor-and-lsp/","","","","","","","","","","","","","","","","","","Editor integration and the LSP boundary","Experienced software developers","Learn and implement Editor integration and the LSP boundary","examples/21.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/filesystem/","","","","","","","","","","","","","","","","","","Filesystem automation with bounded paths","Experienced software developers","Learn and implement Filesystem automation with bounded paths","examples/22.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/processes/","","","","","","","","","","","","","","","","","","Processes without unnecessary shells","Experienced software developers","Learn and implement Processes without unnecessary shells","examples/23.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/http-and-networking/","","","","","","","","","","","","","","","","","","HTTP and network boundaries","Experienced software developers","Learn and implement HTTP and network boundaries","examples/24.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/data-and-persistence/","","","","","","","","","","","","","","","","","","Structured data and local persistence","Experienced software developers","Learn and implement Structured data and local persistence","examples/25.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/capability-security/","","","","","","","","","","","","","","","","","","Trusted execution and minimum authority","Experienced software developers","Learn and implement Trusted execution and minimum authority","examples/26.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/secret-boundaries/","","","","","","","","","","","","","","","","","","Secrets, redaction, and endpoint policy","Experienced software developers","Learn and implement Secrets, redaction, and endpoint policy","examples/27.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/ai-effects-and-messages/","","","","","","","","","","","","","","","","","","AI effects and portable messages","Experienced software developers","Learn and implement AI effects and portable messages","examples/28.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/request-identity/","","","","","","","","","","","","","","","","","","Deterministic request identity","Experienced software developers","Learn and implement Deterministic request identity","examples/29.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/record-and-replay/","","","","","","","","","","","","","","","","","","Record, replay, and offline evidence","Experienced software developers","Learn and implement Record, replay, and offline evidence","examples/30.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/streaming/","","","","","","","","","","","","","","","","","","Streaming and cancellation","Experienced software developers","Learn and implement Streaming and cancellation","examples/31.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/structured-outputs/","","","","","","","","","","","","","","","","","","Structured outputs and schema validation","Experienced software developers","Learn and implement Structured outputs and schema validation","examples/32.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/context-and-vectors/","","","","","","","","","","","","","","","","","","Context budgets, embeddings, and vectors","Experienced software developers","Learn and implement Context budgets, embeddings, and vectors","examples/33.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/tool-loops/","","","","","","","","","","","","","","","","","","Bounded AI tool loops","Experienced software developers","Learn and implement Bounded AI tool loops","examples/34.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/mechanism-and-policy/","","","","","","","","","","","","","","","","","","Mechanism versus policy","Experienced software developers","Learn and implement Mechanism versus policy","examples/35.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/loop-engineering/","","","","","","","","","","","","","","","","","","Loop Engineering, specs, and stop conditions","Experienced software developers","Learn and implement Loop Engineering, specs, and stop conditions","examples/36.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/evaluation/","","","","","","","","","","","","","","","","","","Evaluation independent of generation","Experienced software developers","Learn and implement Evaluation independent of generation","examples/37.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/evidence-and-handoffs/","","","","","","","","","","","","","","","","","","Evidence, run records, and work boundaries","Experienced software developers","Learn and implement Evidence, run records, and work boundaries","examples/38.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/isolation-and-observability/","","","","","","","","","","","","","","","","","","Isolation, observability, and watchdogs","Experienced software developers","Learn and implement Isolation, observability, and watchdogs","examples/39.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/course/mcp-interoperability/","","","","","","","","","","","","","","","","","","MCP and external tool interoperability","Experienced software developers","Learn and implement MCP and external tool interoperability","examples/40.kujo and evidence/verification.json","Executed success and failure with actual Kujo diagnostic; exercise and checkpoint","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/build-1/","","","","","","","","","","","","","","","","","","Build 1: Local reporting utility","Experienced software developers","Navigate or apply Build 1: Local reporting utility","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/build-2/","","","","","","","","","","","","","","","","","","Build 2: Concurrent data processor","Experienced software developers","Navigate or apply Build 2: Concurrent data processor","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/build-3/","","","","","","","","","","","","","","","","","","Build 3: Reusable package","Experienced software developers","Navigate or apply Build 3: Reusable package","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/build-4/","","","","","","","","","","","","","","","","","","Build 4: Bounded native automation","Experienced software developers","Navigate or apply Build 4: Bounded native automation","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/build-5/","","","","","","","","","","","","","","","","","","Build 5: Replay-backed AI automation","Experienced software developers","Navigate or apply Build 5: Replay-backed AI automation","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/build-6/","","","","","","","","","","","","","","","","","","Build 6: Evaluated agentic workflow","Experienced software developers","Navigate or apply Build 6: Evaluated agentic workflow","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/capstone/","","","","","","","","","","","","","","","","","","Local-first AI operations runner","Experienced software developers","Navigate or apply Local-first AI operations runner","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/explorer/","","","","","","","","","","","","","","","","","","Explore the verified examples","Experienced software developers","Navigate or apply Explore the verified examples","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/about/","","","","","","","","","","","","","","","","","","About this course","Experienced software developers","Navigate or apply About this course","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
"","https://kujo.robertdevore.com/evidence/","","","","","","","","","","","","","","","","","","Evidence and freshness ledger","Experienced software developers","Navigate or apply Evidence and freshness ledger","Project implementations / source repository","Course-specific guided build or provenance","Language verified 1.3.1 on 2026-09-06; design/audit 2026-09-07","Preserve factual body; correct global schema/attribution","Pedagogical quality is not reducible to automated structure checks"
